"Number","FC Code","State","Address","Pincode","Longitude","Latitude"
1,"SGAA","Assam","M/s Suburb Residency Pvt. Ltd. Plot No 01, Omshree Industrial Park, PO – Rampur PS - Palashbari, Kamrup, Assam - 781132",781132,91.474609375,26.1034812927246
2,"DEX3","Delhi","Plot No. A-28 (Lower Ground floor), Mohan Co-operative Industrial Estate, Mathura Road, New Delhi - 110044",110044,77.2981796264648,28.5144004821777
3,"PNQ2","Delhi","No. A-33, Mohan Cooperative Industrial Estate, New Delhi - 110044",110044,77.2981796264648,28.5144004821777
4,"DEX8","Delhi","A-29, Mohan Co-operative Industrial Estate, Mathura Road, Badarpur, Delhi - 110044",110044,77.2981796264648,28.5144004821777
5,"AMD2","Gujarat","Plot no. 120 X and 119 W2, Gallops Industrial Park 1, Village Rajoda, Taluka Bavla, District Ahmedabad - 382220",382220,72.3888397216797,22.8374767303467
6,"DEL5","Haryana","Rect/Killa Nos. 38//8/2 min, 192//22/1, 196//2/1/1, 18/2, 19/1/1, 19/2/1, 19/2/2/1, 192//22/2, 195//20, 21/1, 196//2/1, 2/2/1, 2/2/2, 3, 8, 9/1, 9/2, 196//12/1/2, 12/2/2, 13/1, 13/2, Adjacent to Starex School, Binola, NH-8, Manesar, Gurgaon, Haryana - 122413",122413,76.8617248535156,28.2901763916016
7,"DEL4","Haryana","KH No 18//21, 19//25, 34//5,6,7/1 min,14/2/2 min,15/1 min,27,35//1,7,8,9/1,9/2,10/1,10/2,11 min,12,13,14, Village Jamalpur, Dist Gurgaon - 122503",122503,76.7801971435547,28.3271427154541
8,"DEL2","Haryana","Unit No.1, Khewat/Khata No. 373/400, Mustatil No. 31, Kila No 14/2, Village Tauru, Mewat - 122105",122105,76.9326324462891,28.2569103240967
9,"DEL8_DED5","Haryana","Emporium Industrial Parks India Pvt Ltd, ESR Sohna Logistics Park, Village Rahaka, Tehsil Sohna, Sohna-Ballabgarh Road, Gurugram, Haryana - 122103",122103,77.0416564941406,28.1923923492432
10,"DED3","Haryana","Block J2, Farukhnagar Logistics Parks LLP, Farrukhnagar, Gurgaon - 122506",122506,76.8471527099609,28.4489631652832
11,"DED4","Haryana","ESR Sohna Logistics Park, Village Rahaka, Sohna-Ballabgarh Road, Gurgaon - 122506",122506,76.8471527099609,28.4489631652832
12,"BLR7","Karnataka","RKV Developers, SY No 524/2, 525/3, 526/3, Thattanahalli & Madivala Village, Anekal Taluk, Bangalore - 562107",562107,77.7564392089844,12.782844543457
13,"BLR4","Karnataka","Plot no. 12/P2 (IT Sector), Hitech, Defence and Aerospace Park, Devanahalli, Bengaluru - 562149",562149,77.6699295043945,13.1292085647583
14,"BLR5","Karnataka","Survey No 38/2, 39 and 40, Jadigenahalli Hobli, Kacharakanahalli Village, Hosakoti Taluka, Bengaluru - 562114",562114,77.7973556518555,13.0767307281494
15,"BLR8","Karnataka","Building 2 WH 2, Plot no. 12/P2 IT Sector, Hitech, Defence and Aerospace Park, Devanahalli, Bengaluru - 562149",562149,77.6699295043945,13.1292085647583
16,"SIDA","Madhya Pradesh","Yusen Logistics India Pvt Ltd, Survey No 2/4/1, 2/2/2, 2/1/2, Village Pipliya Kumhar, MR-11, Behind Metro Cash n Carry Store, Indore - 453771",453771,75.9300308227539,22.8292198181152
17,"FBHB","Madhya Pradesh","Agya Enterprises, 48-49 A Sector Industrial Area, Govindpura, Bhopal - 462023",462023,77.4393157958984,23.2487564086914
18,"FIDA","Madhya Pradesh","Agya Enterprises, 48-49 A Sector Industrial Area, Govindpura, Bhopal - 462023",462023,77.4393157958984,23.2487564086914
19,"PNQ3","Maharashtra","Building No B01, ESR Pune Estates Pvt Ltd, Village Ambethan, Tal Khed, Pune - 410501",410501,73.853271484375,18.7601928710938
