"Warehouse Name","States","Complete Address","Pincode","Longitude","Latitude"
"guw_kam_wh_nl_01nl","ASSAM","Village-Koraibari, P.S-Kamalpu, 781101, India",781101,91.6326675415039,26.2072010040283
"ahm_khe_wh_nl_01nl","Karnataka","Survey no.672, Village Hariyala, N.H-8, Vadala Road, Near BPCL Gas Plant, Hariyala Village, Kheda District, 387570, India",387570,NA,NA
"Malur BTS Warehouse","Karnataka","Marasandra and Madnahatti - Venkatapura Villages, Kasaba Hobli, Malur Taluk, Kolar Dist, Malur, Karnataka, 563130, India",563130,77.9499816894531,13.0058565139771
"Bangalore Whitefield Warehouse","Karnataka","No. 42/1 & 43, Kacherakanahalli Village, Jadigenahalli Hobli, Hoskote Taluk, Bengaluru, Karnataka, 560067, India",560067,77.7199249267578,12.9895801544189
"dha_kot_wh_nl_01nl","Karnataka","Survey No 480, Kotur Village, Dharwad, Karnataka, 580011, India",580011,74.9249954223633,15.5266876220703
"chn_tvr_04_","TAMIL NADU","Survey 6/2C, Vampattu Road, Koduvalli, Tamil Nadu, 600055, India",600055,80.0608520507812,13.1845331192017
"hos_mpl_01L","TAMIL NADU","Madhakondapalli Village, Denkanikotta Taluk, Krishnagiri, Tamil Nadu, 635114, India",635114,78.394157409668,12.7720727920532
"chn_thv_02L","TAMIL NADU","No 111, Thiruvallur High Road, Revenue Village, Tamil Nadu, 600067, India",600067,80.1856460571289,13.2391748428345
"cbe_oth_01","TAMIL NADU","SF No. 525, 526, 529-533, Okilipalayam Palladam Road, Othakalmandapam, Coimbatore, Tamil Nadu, 641032, India",641032,77.0149841308594,10.8796052932739
"Jaipur Sanganer NLFC 01","Rajasthan","Survey Nos 970–991, Village Sirani Mai Ganpatpura, Sub-Tehsil Bagru, Tehsil Sanganer, Jaipur, Rajasthan, 302026, India",302026,75.6941986083984,26.8726081848145
"Jaipur Sanganer MPNLFC 01","Rajasthan","Survey Nos 970–991, Village Sirani Mai Ganpatpura, Sub-Tehsil Bagru, Tehsil Sanganer, Jaipur, Rajasthan, 302026, India",302026,75.6941986083984,26.8726081848145
"gur_san_wh_nl_01nl_","Haryana","Hadbast No. 23, Village Sanpka, Tehsil Farukhnagar, Haryana, 122503, India",122503,76.7801971435547,28.3271427154541
"Bilaspur Warehouse","Haryana","Killa Nos 219/15-16, 220/11-12, Bohra Kalan, Bilaspur Pataudi Road, Gurgaon, Haryana, 122413, India",122413,76.8617248535156,28.2901763916016
"del_frn_07L","Haryana","Rectangle Nos 2,3,4,6,7,8,9, Khaliqpur Village, Badli Tehsil, Haryana, 124103, India",124103,76.6553726196289,28.6091156005859
"Binola Warehouse","Haryana","Khasra Nos 14/6, 7, 13, 14, 15, 17, 18, 23-25, Village Binola, Gurgaon, Haryana, 122413, India",122413,76.8617248535156,28.2901763916016
"Farrukhnagar BTS Warehouse","Haryana","Rectangle Nos 06,07,08,13, Village Khalikpur, Tehsil Badli, Jhajjar, Haryana, 124103, India",124103,76.6553726196289,28.6091156005859
"Sanpka 01","Haryana","Sunsat Warehousing Pvt Ltd, Hadbast No 23, Village Sanpka, Farukhnagar, Gurgaon, Haryana, 122503, India",122503,76.7801971435547,28.3271427154541
"Bhiwandi Warehouse","Maharashtra","Blocks B6 & B8, Acorn Logistics Industrial Complex, Dive Anjur Village, NH-3, Bhiwandi, Thane, Maharashtra, 421302, India",421302,73.0572509765625,19.3013439178467
"mum_bhi_wh_l_01l","Maharashtra","Village Dohale, Padgha, Maharashtra, 421101, India",421101,73.1757202148438,19.3643188476562
"nag_wad_wh_nl_02nl","Maharashtra","Survey No 90, Village Wadgaon, Hingna Tahsil, Maharashtra, 441122, India",441122,78.9329681396485,20.9263591766357
"bhi_vas_wh_nl_","Maharashtra","Warehouse Building WE-II, Village Vashere, Bhiwandi, Thane, Maharashtra, 421302, India",421302,73.0572509765625,19.3013439178467
